order_id,customer_id,product_id,quantity,price,order_date,region,channel
O001,C001,P001,1,699.99,2023-10-01,us-east,online
O002,C005,P012,1,1399.99,2023-10-01,eu,online
O003,C007,P008,2,149.99,2023-10-01,us-west,store
O004,C002,P013,1,159.99,2023-10-02,eu,online
O005,C009,P004,1,399.99,2023-10-02,us-east,store
O006,C010,P007,1,1299.99,2023-10-02,us-west,online
O007,C003,P001,1,699.99,2023-10-03,asia,online
O008,C011,P015,1,269.99,2023-10-03,eu,store
O009,C014,P009,2,399.99,2023-10-03,us-west,online
O010,C005,P011,1,749.99,2023-10-04,eu,online
O011,C001,P003,1,149.99,2023-10-04,us-east,store
O012,C013,P001,1,699.99,2023-10-04,asia,online
O013,C007,P010,1,249.99,2023-10-05,us-west,online
O014,C009,P002,1,1299.99,2023-10-05,us-east,online
O015,C002,P014,1,429.99,2023-10-05,eu,store
O016,C012,P001,1,699.99,2023-10-06,latam,online
O017,C004,P001,1,699.99,2023-10-06,middle-east,online
O018,C008,P001,1,699.99,2023-10-06,asia,store
O019,C011,P012,1,1399.99,2023-10-07,eu,online
O020,C015,P013,2,159.99,2023-10-07,eu,online 